Funding Org: Identifier,Funding Org: Name,Recipient Org:Identifier,Recipient Org: Name,Identifier,Recipient Org: Street Address,Recipient Org: City,Recipient Org: State,Recipient Org: Postal Code,Recipient Org: Country, Amount Awarded ,Currency,Award Date,Fiscal Year,Description,Classifications: Title,Beneficiary Location: Name,Title,Fiscal Sponsor,URL,Grant-related Publications,Last Modified
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000CWClEAAX:2008,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 25,000.00 ",USD,19/12/2006,2008,"General Operating Support for Mother Jones for their ""smart and fearless"" investigative journalism","Media Reform, Independent Media",U.S.,Mother Jones 2007-2008 Grant,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000CWClJAAX:2008,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 25,000.00 ",USD,17/03/2007,2008,Project Support for Mother Jones Venture Fund,"Media Reform, Independent Media",U.S.,Mother Jones 2007-2009 Multi-Year Grant,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000CWClJAAX:2009,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 25,000.00 ",USD,17/03/2007,2009,Project Support for Mother Jones Venture Fund,"Media Reform, Independent Media",U.S.,Mother Jones 2007-2009 Multi-Year Grant,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000DS9ieAAD:2009,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 25,000.00 ",USD,23/04/2009,2009,"General Operating Support for Mother Jones for their ""smart and fearless"" investigative journalism","Media Reform, Independent Media",U.S.,Mother Jones 2009-2011 Grant,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000DS9ieAAD:2010,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 25,000.00 ",USD,23/04/2009,2010,"General Operating Support for Mother Jones for their ""smart and fearless"" investigative journalism","Media Reform, Independent Media",U.S.,Mother Jones 2009-2011 Grant,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000Fg85xAAB,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 10,000.00 ",USD,28/06/2010,2010,"General Operating Support for Mother Jones for their ""smart and fearless"" investigative journalism","Media Reform, Independent Media",U.S.,Mother Jones 2010 Grant,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000DS9ieAAD:2011,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 25,000.00 ",USD,23/04/2009,2011,"General Operating Support for Mother Jones for their ""smart and fearless"" investigative journalism","Media Reform, Independent Media",U.S.,Mother Jones 2009-2011 Grant,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000PAMBcAAP,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 25,000.00 ",USD,14/12/2012,2012,"General Operating Support for Mother Jones for their ""smart and fearless"" investigative journalism","Media Reform, Independent Media",U.S.,Mother Jones 2012 Grant,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000QieNSAAZ,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 25,000.00 ",USD,01/05/2013,2013,"General Operating Support for Mother Jones for their ""smart and fearless"" investigative journalism","Media Reform, Independent Media",U.S.,Mother Jones 2013 Grant,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
US-EIN-39-1916960,Quixote Foundation,360G-quixote-ORG0014000000IZuGp,Mother Jones,360G-quixote-0064000000Y6SZGAA3:2014,"222 Sutter St., Suite 600",San Francisco,CA,94108,United States," 25,000.00 ",USD,14/07/2014,2014,"General Operating Support for Mother Jones for their ""smart and fearless"" investigative journalism","Media Reform, Independent Media",U.S.,Mother Jones 2014-2016 Grant,Foundation for National Progress,http://www.motherjones.com,,12/04/2019 16:41
